,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,TCS,EQ,15-May-17,2360.65,2375.1,2377.95,2341.6,2368.0,2365.1,2352.6,908802,2138043383.0,30047,712450,78.39,5,2017,2365.1,0.0,Slight positive
1,TCS,EQ,16-May-17,2365.1,2380.0,2435.0,2373.45,2425.1,2429.15,2410.26,1800513,4339703206.0,58476,1167534,64.84,5,2017,2407.665319148936,0.027081307344298367,Slight positive
2,TCS,EQ,17-May-17,2429.15,2433.5,2460.75,2423.0,2450.0,2455.35,2443.31,1438099,3513728630.0,86412,1031752,71.74,5,2017,2424.199789025161,0.010785665767861108,Slight positive
3,TCS,EQ,18-May-17,2455.35,2450.0,2572.0,2442.25,2525.0,2536.2,2525.78,2569297,6489478325.0,111566,1135613,44.2,5,2017,2467.042455034912,0.03292809579082401,Slight positive
4,TCS,EQ,19-May-17,2536.2,2536.2,2540.55,2486.0,2503.85,2507.15,2506.58,893022,2238429863.0,63112,517461,57.94,5,2017,2471.749179964658,-0.011454143994952926,Slight positive
5,TCS,EQ,22-May-17,2507.15,2510.0,2553.75,2510.0,2535.0,2531.35,2530.69,831970,2105461143.0,53261,509741,61.27,5,2017,2477.6231243861575,0.00965239415272312,Slight positive
6,TCS,EQ,23-May-17,2531.35,2533.2,2564.15,2514.0,2523.7,2521.7,2530.49,1374298,3477645339.0,88749,995551,72.44,5,2017,2483.794146781362,-0.003812195073774949,Slight positive
7,TCS,EQ,24-May-17,2521.7,2534.8,2570.0,2529.65,2567.1,2559.15,2545.01,1267274,3225227837.0,58716,918505,72.48,5,2017,2492.4104189149866,0.014851092516952935,Slight positive
8,TCS,EQ,25-May-17,2559.15,2577.0,2637.55,2568.0,2615.05,2624.6,2605.4,2047047,5333377224.0,87147,1180439,57.67,5,2017,2513.0190746197995,0.025574897915323413,Slight positive
9,TCS,EQ,26-May-17,2624.6,2625.0,2626.85,2564.65,2570.05,2578.25,2593.0,681275,1766542911.0,32170,390827,57.37,5,2017,2516.2366749225303,-0.01765983387944825,Slight positive
10,TCS,EQ,29-May-17,2578.25,2579.0,2596.5,2564.0,2572.0,2572.85,2577.65,874645,2254524744.0,41767,635375,72.64,5,2017,2519.6083040780613,-0.0020944439057500874,Slight positive
11,TCS,EQ,30-May-17,2572.85,2560.0,2575.95,2525.0,2548.2,2551.1,2554.74,463817,1184932112.0,26766,246206,53.08,5,2017,2520.572418074411,-0.00845366033775774,Slight positive
12,TCS,EQ,31-May-17,2551.1,2533.0,2572.5,2528.0,2539.95,2546.6,2549.69,1251365,3190589291.0,103176,925467,73.96,5,2017,2522.5582215666145,-0.0017639449649170524,Slight positive
13,TCS,EQ,1-Jun-17,2546.6,2530.0,2564.0,2530.0,2553.0,2553.6,2552.85,540032,1378618493.0,38315,370004,68.52,6,2017,2523.5477205619154,0.002748763056624526,Slight positive
14,TCS,EQ,2-Jun-17,2553.6,2556.25,2591.85,2552.5,2560.0,2564.9,2568.84,677824,1741220234.0,43736,511928,75.53,6,2017,2525.1385669221436,0.004425125313283207,Slight positive
15,TCS,EQ,5-Jun-17,2564.9,2565.0,2619.9,2560.15,2616.0,2603.95,2577.2,750094,1933140403.0,39041,490594,65.4,6,2017,2528.3567486132074,0.015224765098054371,Slight positive
16,TCS,EQ,6-Jun-17,2603.95,2631.0,2708.95,2630.0,2705.0,2696.0,2693.18,2973360,8007780799.0,132494,1888281,63.51,6,2017,2551.711944716173,0.035350141131742285,Slight positive
17,TCS,EQ,7-Jun-17,2696.0,2697.0,2700.0,2576.55,2613.95,2615.25,2624.95,2463888,6467588529.0,109104,1265805,51.37,6,2017,2558.287873546276,-0.02995178041543023,Slight positive
18,TCS,EQ,8-Jun-17,2615.25,2598.0,2604.95,2515.5,2520.0,2521.6,2543.44,1665357,4235730503.0,80468,678314,40.73,6,2017,2555.8892217954476,-0.035809196061562076,Slight positive
19,TCS,EQ,9-Jun-17,2521.6,2520.0,2547.4,2486.0,2518.6,2507.0,2513.28,1574017,3955950265.0,83931,599286,38.07,6,2017,2553.0439774856136,-0.0057899746192893176,Slight positive
20,TCS,EQ,12-Jun-17,2507.0,2497.0,2512.9,2470.4,2484.9,2487.2,2487.48,813253,2022948074.0,44849,306655,37.71,6,2017,2551.121893648318,-0.00789788591942564,Slight positive
21,TCS,EQ,13-Jun-17,2487.2,2465.0,2481.1,2447.0,2450.0,2451.55,2464.89,587707,1448635342.0,52410,268108,45.62,6,2017,2549.06476321579,-0.014333386941138504,Slight positive
22,TCS,EQ,14-Jun-17,2451.55,2455.0,2476.0,2455.0,2465.4,2470.2,2469.41,744571,1838650964.0,42987,456486,61.31,6,2017,2547.053206382455,0.007607432032795458,Slight positive
